file	merge	types	tokens	TTR	entropy	redundancy
pes-x-bible-2007.txt.clean.txt	350	427	45219	0.009442933280258298	7.920104203456228	0.09361174405816919
pes-x-bible-2007.txt.clean.txt	400	475	43849	0.01083263016260348	8.03592215225757	0.09625307806924821
pes-x-bible-2007.txt.clean.txt	450	523	42666	0.01225800403131299	8.129085358400602	0.09983556743306443
pes-x-bible-2007.txt.clean.txt	500	572	41645	0.013735142273982471	8.204424758352262	0.10430786015408877
pes-x-bible-2007.txt.clean.txt	550	620	40732	0.015221447510556811	8.274514507170242	0.10797719546910123
pes-x-bible-2007.txt.clean.txt	600	664	39909	0.01663785111127816	8.332395997292771	0.11121483186171055
pes-x-bible-2007.txt.clean.txt	650	708	39161	0.0180792114603815	8.393087807938098	0.11349413919504481
pes-x-bible-2007.txt.clean.txt	700	754	38477	0.01959612235881176	8.455414793142765	0.11539625145341681
pes-x-bible-2007.txt.clean.txt	750	795	37839	0.021010068976452866	8.503581221702035	0.11741069156198158
pes-x-bible-2007.txt.clean.txt	800	842	37255	0.02260099315528117	8.559919281209767	0.11913929744650831
pes-x-bible-2007.txt.clean.txt	850	888	36705	0.024192889252145484	8.609635247875044	0.12096490843782914
pes-x-bible-2007.txt.clean.txt	900	935	36195	0.025832297278629644	8.661995163773616	0.12228686697963409
pes-x-bible-2007.txt.clean.txt	950	977	35709	0.02736004928729452	8.696333747849735	0.12443156284691892
pes-x-bible-2007.txt.clean.txt	1000	1024	35259	0.029042230352534105	8.743414792892368	0.12565852071076322
pes-x-bible-2007.txt.clean.txt	1050	1067	34858	0.030609903035171266	8.771445867757912	0.1280300717489261
pes-x-bible-2007.txt.clean.txt	1100	1114	34458	0.032329212374484884	8.808353415321031	0.1297412195265948
pes-x-bible-2007.txt.clean.txt	1150	1160	34094	0.034023581861911185	8.838737937101332	0.13174686935358826
pes-x-bible-2007.txt.clean.txt	1200	1208	33744	0.03579895685158843	8.874946209247321	0.1331709934107994
pes-x-bible-2007.txt.clean.txt	1250	1253	33397	0.037518339970656046	8.902967670924765	0.13489262484865505
pes-x-bible-2007.txt.clean.txt	1300	1299	33097	0.03924827023597305	8.925572107776812	0.1370577350799973
pes-x-bible-2007.txt.clean.txt	1350	1345	32797	0.04100984846174955	8.952877089661133	0.138598984968483
pes-x-bible-2007.txt.clean.txt	1400	1390	32497	0.04277317906268271	8.974876983872141	0.14040901769811032
pes-x-bible-2007.txt.clean.txt	1450	1434	32232	0.04448994787788533	8.995774166584972	0.14210179264317946
pes-x-bible-2007.txt.clean.txt	1500	1475	31982	0.0461196923269339	9.015469692272625	0.14354530528497744
pes-x-bible-2007.txt.clean.txt	1550	1518	31732	0.04783814445985125	9.038501916004966	0.14472563554351936
pes-x-bible-2007.txt.clean.txt	1600	1564	31482	0.049679181754653454	9.056386831337203	0.14651157599449338
pes-x-bible-2007.txt.clean.txt	1650	1606	31232	0.051421618852459015	9.074331736752148	0.1478905582241643
pes-x-bible-2007.txt.clean.txt	1700	1646	31018	0.053065961699658264	9.083873252379155	0.14982807971567424
pes-x-bible-2007.txt.clean.txt	1750	1688	30818	0.05477318450256344	9.096124348772966	0.1515679326655096
pes-x-bible-2007.txt.clean.txt	1800	1727	30618	0.05640472924423542	9.112216930417784	0.15267132621266966
pes-x-bible-2007.txt.clean.txt	1850	1769	30418	0.05815635478992702	9.127811125501228	0.1539485188112273
pes-x-bible-2007.txt.clean.txt	1900	1811	30218	0.05993116685419286	9.139924112958983	0.155475694663895
pes-x-bible-2007.txt.clean.txt	1950	1852	30018	0.06169631554400693	9.15241155384684	0.15683809045891606
pes-x-bible-2007.txt.clean.txt	2000	1894	29837	0.06347823172570968	9.1632462960234	0.15834843256465203
