file	merge_min	min_ttr	merge_max	max_ttr	initial_ttr	final_ttr
aey-x-bible.txt.clean.txt.measures.tsv	350.0	0.00818471784790066	3150.0	0.09382806515005163	0.00818471784790066	0.09382806515005163
amp-x-bible.txt.clean.txt.measures.tsv	350.0	0.006183342955242928	4700.0	0.12025064084306465	0.006183342955242928	0.12025064084306465
ape-x-bible.txt.clean.txt.measures.tsv	350.0	0.005614341194349074	4050.0	0.087734306202038	0.005614341194349074	0.087734306202038
apu-x-bible.txt.clean.txt.measures.tsv	350.0	0.007474048442906575	3850.0	0.13090995485863627	0.007474048442906575	0.13090995485863627
arn-x-bible.txt.clean.txt.measures.tsv	350.0	0.0079072746927173	3150.0	0.08774269081921364	0.0079072746927173	0.08774269081921364
arz-x-bible.txt.clean.txt.measures.tsv	350.0	0.008572092139433735	4850.0	0.19685001675523003	0.008572092139433735	0.19685001675523003
bsn-x-bible.txt.clean.txt.measures.tsv	350.0	0.006268733928761621	4150.0	0.09705898137712661	0.006268733928761621	0.09705898137712661
cha-x-bible-2003.txt.clean.txt.measures.tsv	350.0	0.007979044932500503	3500.0	0.10130121518442843	0.007979044932500503	0.10130121518442843
deu-x-bible-neue.txt.clean.txt.measures.tsv	350.0	0.008248433001898772	3450.0	0.1057632569528195	0.008248433001898772	0.1057632569528195
dgz-x-bible.txt.clean.txt.measures.tsv	350.0	0.00815103511859861	2550.0	0.07332126930782654	0.00815103511859861	0.07332126930782654
ell-x-bible-modern2009.txt.clean.txt.measures.tsv	350.0	0.00829449741331395	3950.0	0.12228417611997693	0.00829449741331395	0.12228417611997693
eng-x-bible-kingjames.txt.clean.txt.measures.tsv	350.0	0.0089085329547016	2550.0	0.07334075963922528	0.0089085329547016	0.07334075963922528
eus-x-bible-batua.txt.clean.txt.measures.tsv	350.0	0.008984411462708859	3850.0	0.15972022611861647	0.008984411462708859	0.15972022611861647
fij-x-bible-1974.txt.clean.txt.measures.tsv	350.0	0.00851957886959734	1800.0	0.04199904750565543	0.00851957886959734	0.04199904750565543
fin-x-bible-1992.txt.clean.txt.measures.tsv	350.0	0.008266548873603837	4450.0	0.17333096117066227	0.008266548873603837	0.17333096117066227
fra-x-bible-perret.txt.clean.txt.measures.tsv	350.0	0.008342064963327154	3550.0	0.10548836551382701	0.008342064963327154	0.10548836551382701
gug-x-bible.txt.clean.txt.measures.tsv	350.0	0.009918266140141426	3450.0	0.12762290490757897	0.009918266140141426	0.12762290490757897
hae-x-bible.txt.clean.txt.measures.tsv	350.0	0.008057935536515707	3650.0	0.126780294186318	0.008057935536515707	0.126780294186318
hau-x-bible.txt.clean.txt.measures.tsv	350.0	0.009922512339206711	2450.0	0.07852545793823071	0.009922512339206711	0.07852545793823071
hin-x-bible-bsi.txt.clean.txt.measures.tsv	350.0	0.009949360876257612	2600.0	0.07397559146383037	0.009949360876257612	0.07397559146383037
