file	merge	types	tokens	TTR	H	Hcross	R
apu-x-bible.txt.clean.txt	0	35	157770	0.00022184192178487672	4.014449045714273	7.983149334810752	0.2173469406051014
apu-x-bible.txt.clean.txt	50	84	91070	0.0009223674096848578	5.825574177194015	7.53204443878699	0.08866005989708514
apu-x-bible.txt.clean.txt	100	134	74035	0.0018099547511312218	6.549137285598459	7.897688691092074	0.07315954991870444
apu-x-bible.txt.clean.txt	150	184	65469	0.002810490461134277	6.987953898263209	8.227176207618257	0.07119075524627017
apu-x-bible.txt.clean.txt	200	233	60013	0.0038824921267058806	7.271719074142525	8.583989506332975	0.075337366081357
apu-x-bible.txt.clean.txt	250	283	56078	0.005046542316059774	7.535303620290884	8.850734045135107	0.07481647533551106
apu-x-bible.txt.clean.txt	300	333	53057	0.006276268918333113	7.75288763948941	9.060932163161157	0.07476577618738334
apu-x-bible.txt.clean.txt	350	378	50575	0.007474048442906575	7.898357072255659	9.284779999917143	0.07753638814142871
apu-x-bible.txt.clean.txt	400	426	48545	0.00877536306519724	8.033763599947523	9.494007163598841	0.08024834834294026
apu-x-bible.txt.clean.txt	450	472	46765	0.010093018282903881	8.15250842509815	9.655038648457108	0.08219790215662737
apu-x-bible.txt.clean.txt	500	521	45229	0.011519158062305157	8.247291048892317	9.836248900165835	0.08618686813855914
apu-x-bible.txt.clean.txt	550	570	43884	0.012988788624555646	8.357834318470553	9.990264730240142	0.08705621248700823
apu-x-bible.txt.clean.txt	600	619	42677	0.014504299739906742	8.450916041548734	10.115290182645994	0.08873169015448756
apu-x-bible.txt.clean.txt	650	666	41589	0.01601384981605713	8.547521122367261	10.21101025921541	0.08869001890620498
apu-x-bible.txt.clean.txt	700	716	40619	0.017627218789236565	8.6108448338524	10.350724021923256	0.09204849228563117
apu-x-bible.txt.clean.txt	750	764	39743	0.01922351105855119	8.689113284737186	10.436835420733598	0.09275094174526466
apu-x-bible.txt.clean.txt	800	814	38955	0.02089590553202413	8.750034003483087	10.539591719026422	0.09503174174461337
apu-x-bible.txt.clean.txt	850	861	38234	0.022519223727572316	8.809420139617895	10.626818677896335	0.09645762897463162
