id,language,final_merge,word_length,char_vocab,H_0,H_20,H_30,H_60,H_100,H_200,H_350,H_5000,H_wordlevel,R_0,R_20,R_30,R_60,R_100,R_200,R_350,R_5000,R_wordlevel,H1gram,H3gram
aey,Amele,3150,3.298469699,38,4.603249296,5.407833087,5.710165627,6.277244661,6.768082547,7.475408566,7.997554355,9.274909419,9.125057141,0.2238318722,0.1470093008,0.1225651787,0.09273468112,0.0767754349,0.06882211007,0.07781802206,0.1906671148,0.230015892,0.568475205,0.5908495713
amp,Alamblak,4700,3.729198226,38,4.658089534,5.412299344,5.632719643,6.090917971,6.633739352,7.377857978,7.981074787,10.09217532,9.961847386,0.2114142867,0.1414201159,0.1301804339,0.1165947846,0.09286947541,0.07841568978,0.07934240657,0.1620377277,0.2081513425,0.6732651674,0.6431305915
ape,Bukiyip,4050,3.57381095,39,4.548276466,5.399108519,5.661281946,6.213232218,6.673016537,7.392513868,7.901451623,9.196135063,8.946883365,0.2300049591,0.143512642,0.1257697671,0.09726072187,0.08521405476,0.07658499062,0.08550606131,0.2185320961,0.2597806204,0.6519671154,0.5913951079
apu,Apurinã,3850,4.710564036,31,4.014449046,5.209923532,5.453653415,6.027031748,6.549137286,7.271719074,7.898357072,9.791225399,9.532510737,0.2173469406,0.09884113942,0.09105776421,0.08048668122,0.07315954992,0.07533736608,0.07753638814,0.1624896561,0.2091111098,0.5924907906,0.523639738
arn,Mapudungun,3150,3.458230227,36,4.800351751,5.390303443,5.680528464,6.236476985,6.72004771,7.359526397,7.882882968,8.682361527,8.356946048,0.1494553387,0.1175768419,0.09886960054,0.07855981968,0.06913826836,0.07408324472,0.08611766159,0.2382339551,0.2996316089,0.5983614113,0.5964544551
arz,Egyptian Arabic,4850,6.319279617,51,4.863989009,5.763222866,5.986070871,6.456209153,6.874964598,7.561578688,8.148545782,10.85144145,10.84123974,0.169681668,0.08307811254,0.07328210525,0.061957869,0.05871153108,0.05612730144,0.05963878834,0.09613686434,0.1244796164,0.7258966809,0.7482856756
bsn,Barasana-Eduria,4150,4.030221486,48,4.783307487,5.581614366,5.731275249,6.261562868,6.802662423,7.481795214,8.025174093,9.130727199,8.864535448,0.2142362735,0.1358969805,0.1316134945,0.1040427278,0.07869246197,0.0705669594,0.07613266494,0.2275566144,0.2751288717,0.5268477572,0.5778378176
cha,Chamorro,3500,3.266354353,36,4.732120563,5.464717431,5.716667062,6.184244296,6.653188904,7.318943611,7.820409666,8.850395975,8.544988066,0.1698674494,0.1142975921,0.1008068738,0.09153491085,0.08205636826,0.08053494536,0.09374359992,0.2280203536,0.2702257322,0.6783163972,0.6631499884
deu,German,3450,3.109384222,37,4.751885101,5.553118692,5.811216042,6.28528227,6.71573658,7.423149699,7.991634124,9.423723324,9.200115644,0.1853292125,0.1138809889,0.09804951016,0.0851603188,0.07935767853,0.0721062876,0.07698788137,0.1804637878,0.2157646025,0.5883626605,0.6639265209
dgz,Daga,2550,2.995533124,35,4.319156972,5.358981836,5.550672338,6.119997764,6.671135869,7.401506475,7.950643432,9.099528847,9.01229285,0.2180486059,0.1133963587,0.1115978337,0.08850551442,0.07086067731,0.066731609,0.07589624265,0.1837406962,0.212806176,0.5856816632,0.5458095617
