file	merge	types	tokens	TTR	H	Hcross	R
hau-x-bible.txt.clean.txt	0	48	95369	0.0005033082028751482	4.510632283683992	7.538617830490293	0.1923612229980849
hau-x-bible.txt.clean.txt	50	98	60385	0.0016229195992382213	6.216698843953203	7.270286239107189	0.06017059093167876
hau-x-bible.txt.clean.txt	100	147	52343	0.0028083984486941905	6.72749378241947	7.832706258610644	0.06558334043569958
hau-x-bible.txt.clean.txt	150	197	47790	0.00412220129734254	7.089004709067552	8.222865442998216	0.06993485783291908
hau-x-bible.txt.clean.txt	200	246	44708	0.005502370940323879	7.333287147290241	8.567842858413291	0.07670459495408599
hau-x-bible.txt.clean.txt	250	293	42389	0.0069121706102998415	7.5133432493442145	8.86169328299654	0.08315238843362549
hau-x-bible.txt.clean.txt	300	339	40583	0.008353251361407486	7.656469212685584	9.11393280137063	0.08907312907633036
hau-x-bible.txt.clean.txt	350	388	39103	0.009922512339206711	7.779105855525015	9.339111994509539	0.0954436401536094
hau-x-bible.txt.clean.txt	400	434	37849	0.011466617347882374	7.864463461388132	9.578502377703082	0.10238914859441606
hau-x-bible.txt.clean.txt	450	482	36773	0.013107442960868028	7.938585546998446	9.787836134646586	0.10931402292532366
hau-x-bible.txt.clean.txt	500	528	35858	0.014724747615594846	7.997124420972536	9.967082898268785	0.11579213428397173
hau-x-bible.txt.clean.txt	550	575	35058	0.016401391979006218	8.0728177825823	10.105974259238451	0.1194011602652959
hau-x-bible.txt.clean.txt	600	623	34350	0.01813682678311499	8.128066289371455	10.254849848038408	0.12442217716007131
hau-x-bible.txt.clean.txt	650	666	33709	0.01975733483639384	8.170649372365784	10.381672861874453	0.12887090672757529
hau-x-bible.txt.clean.txt	700	714	33139	0.021545610911614714	8.219530722425477	10.500936803849697	0.132940796780451
hau-x-bible.txt.clean.txt	750	760	32626	0.023294305155397536	8.254948299538817	10.623993007578264	0.13740095593996726
hau-x-bible.txt.clean.txt	800	807	32169	0.025086263172619604	8.291076122498826	10.729769317137333	0.1413927783947465
hau-x-bible.txt.clean.txt	850	849	31754	0.026736789065944448	8.316742512197731	10.825186684850067	0.14521411148440677
hau-x-bible.txt.clean.txt	900	897	31366	0.02859784480010202	8.349697427173023	10.927789646198278	0.14876868971317747
hau-x-bible.txt.clean.txt	950	943	31016	0.030403662625741554	8.374153548252599	11.033559721529606	0.15250916226853628
hau-x-bible.txt.clean.txt	1000	991	30683	0.032298015187563145	8.394870044386618	11.13131649408615	0.15652684663536898
hau-x-bible.txt.clean.txt	1050	1037	30383	0.03413092847974196	8.415600164805479	11.222748009058463	0.15996885522381266
hau-x-bible.txt.clean.txt	1100	1081	30083	0.03593391616527607	8.436618023424387	11.290523342550797	0.16288035529796208
hau-x-bible.txt.clean.txt	1150	1126	29832	0.03774470367390721	8.452612401670766	11.37393128844148	0.16616160473912156
hau-x-bible.txt.clean.txt	1200	1168	29582	0.03948346967750659	8.460566581999625	11.455387949446104	0.16970439156122807
hau-x-bible.txt.clean.txt	1250	1213	29339	0.041344285762977606	8.475787316669635	11.522947236098684	0.1726389795321117
